record_id,year,district_city,source,text,sentiment_label
1,2023,Chennai,complaint,We are afraid of the violence in our neighborhood. Crime is very dangerous here. We need more police support and protection.,negative
2,2023,Chennai,news,The police response was quick and helpful. They resolved the murder case within days. Justice served!,positive
3,2023,Bangalore,complaint,There was a robbery near my house last night. I am worried and afraid for my family's safety. This area is unsafe now.,negative
4,2023,Delhi,social_media,Harassment and assault cases are increasing. We need better security and vigilant patrolling. People are panicked about their safety.,negative
5,2023,Mumbai,news,The new security measures have made us feel safer and more secure. The police are responsive and trusted by the community.,positive
6,2023,Chennai,complaint,Murder case caught! Arrested the suspects. The improved law enforcement has brought peace to the area.,positive
7,2023,Bangalore,social_media,Theft and robbery are still a concern. The delay in police response makes people feel unsafe and worried.,negative
8,2023,Delhi,news,Assault and violence incidents have decreased. People feel calm and protected. The community support is excellent.,positive
9,2023,Mumbai,complaint,Fraud cases detected and addressed quickly. The police action was trusted and effective. Community feels secured.,positive
10,2023,Chennai,social_media,Gunshot incidents were reported. People are angry and afraid. We need urgent intervention and support.,negative
