date,district_city,headline,source,url,polarity,sentiment_label,confidence,crime_intensity,crime_types,method,year
2026-06-22,Vijay,"Vijay stakes claim to form govt in Tamil Nadu with support of Congress, VCK, IUML, Left parties - Newsonair",Newsonair,https://news.google.com/rss/articles/CBMipAFBVV95cUxPYnZNelFLRmRoVWVPT3dLNXdHVWNFV19uRGI4UUVMMUJWUmM2VkJ5QmlUUlAwMzZaVFdGcEs3V2gwbnM3R3p5SE9QMnk4YUlMTHdiME9tUWpkY2trXzVTd083VTZpa3hjQkQ1WUZ0YzFESUZYRnE1SjhVcnRDVncyWm9CM05UUkhTbUtKTnVyNzF4X012M0xhdUpRVkVLREt3M3dxZw?oc=5,0.9645,positive,0.965,0,none,distilbert,2026
2026-06-22,Tiruvallur,Tiruvallur ammonia leak: Death toll rises to seven at seafood processing unit as five more people succumb - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNOHlzMmdHU0E2N0NyX2hIS1ZVblpEc3BvWkZaUU9ZaEgxR055eF92cklVUktuQVBOVkEwUV84Z0FqYmVMOTU1VWJHaUdWZDhTNUYyenFJSHJPYldkQXpiVnNsNWZiX1Y3NUlqaEdtZEptMHIzRjZDemVPOXZ2clRLLUJZdENhZEdtekdyWXFQdmZoTUlYZ05adGxJVXlCMGQ4bGNDZ0ZXanBWcjFlTXlyM1RFWEs4M1YzVEZRdDlfUkw5Q2tXVnZ6OTA1SWN1WW4yOTREelY3WV9Yc3dpRXppbzRyUXNJR3ZoN01CV0l30gH0AUFVX3lxTFBSaXFRR1N5dVJScGZ5akRnTEY4MTZsQjI3ZGZUelpKUXd1eF9xQVQ1aXdNeVotd3BHNGZKaG1sckVtMTN4clVXdjRTUldIRDBkWVRJZDVseTdMRUd2T0NVb0V5UUFHVVUtZjlrZF9KdzdnVldsaElhRDBIN2F3QWQxanN0eGVidXNWTDU3VGVJR092VENVRHhwZ1RITUo4SmRiNXc1bWM3S0VVUkxhbDVYcUdHMzJpUnhnaWRWckIwejVhTDVFY0l0S29KbVFWS25admF6QWFMRy1wcFFkV3ZPbGpBdm4xdzNPM1lhTUE2Ymd3amc?oc=5,-0.9982,negative,0.998,0,none,distilbert,2026
2026-06-22,Chennai,"New police commissioners for Madurai, Tirupur, Salem; new officers posted in Chennai police's top level - DT Next",DT Next,https://news.google.com/rss/articles/CBMipAFBVV95cUxQcl9QcUdrQ1dqRXdLcmdDcFpDcWVURkFRb1ZqeHlfUmJ3QUtFWnlGN2x0MzRFWEdwZ0ZDeF9NVXhFRFZXTGtOSlZVei1oQjNfTVNZMnc5eWgyblJybDhNMF9Ka3ZCX1pYVU05MWRCYjYwSVRmcmZubjNHTzdOaU9sTjZxSVZDdzUtQVRkU3k4bnAyNVhRY1FuUmlIeFE4eHRkRWFEZdIBsgFBVV95cUxQa2ZxT3pILUx3R2tRQWRWOC1jNzVld2c4ZE1yVFNkbW1fSjdLOXZQczRnNkpkaWQ1QTVDWS1WNjJudFJpMWtoNHpSc0w5clVrelJMaUhlTmZaUzVMSlhhSDRRcXZObFRBTk1QdXhpNW9NUm03a051TWhpYjB2aFpkd05XN0ltd0FWRkhzdTFHWUl4ZEFsaE4xYVRZZW8xRXE2OVMwbkRHOENPbUVHc2RsQkxR?oc=5,0.9494,positive,0.949,0,none,distilbert,2026
2026-06-22,Tamil,Tamil Nadu assembly election results: TVK set to emerge as single largest party - Newsonair,Newsonair,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPTXBndW9xNjJhOTVSUGZrblNfcmhkYXFLT0s5X3k3VnBnVlJFU0JCZGVuQW9wZkJEckNHemFMODdxZlRLbGJ2LUFSZkJ6ZEpQdG1saWNVRE4zTkZCRXZ5NndFdHZmN1BCVHVRcmptTXE0bEtoRWNqT3hUbGF0Tk4xTFNrTzJ5aEdaU0UzU1hTcHhjRGhzOHJtOFhtUVRpN0hjWWh3NTRPTWVnTXhaR1NVZlF5YmVTMno4Qnpn?oc=5,0.9804,positive,0.98,0,none,distilbert,2026
2026-06-21,Killed,"2 Killed, 46 Hospitalised Due To Gas Leak At Tamil Nadu Seafood Export Unit - NDTV",NDTV,https://news.google.com/rss/articles/CBMitwFBVV95cUxNVTFXLUR2Uk41anV2dUJmdko4aVhpTF84OXVIUEJzVjJ6aU1SMlNYRGkzM29tc1Rqb2ZLVzAwdGstWWtJRlZWSEVkWEFhdlEtSmIyZW9HemFfZlRpRVFybkQ1ZlVBUlEtT0xQc0NjVXFWNHkwdFJXOFlmdTZJZXg3TTF0c2FBMUJQa29kUVV3a1dkdW5tMklXd1VGTWxEOWVZQzVCRXN1a2JHSndyWUFVNVY3T19Ga1HSAb8BQVVfeXFMT1VwUzRHTVZMbXNnUVcxbVN0T1FvQmFmV0xzN3BTZ3FvX0VJNEd0MzdVUVVGUXU0NW9Zcnl2MXNhRzdfaXY1YUp2OGZRLUhERXFTLTEzR21PX0dOOW05aERvVmw3NzMtbzZMN3ZtSUREdU9KT3JZdHdWUzdCVkthVjlfNDJGeGNieG1LalpVc0xadkRZaWZaS3M0UHBwaVpwZVI0S0FGNTV2TklubHlTaEl1a1ByWHRnZU9DZXQ5TFk?oc=5,-0.9977,negative,0.998,0,none,distilbert,2026
2026-06-22,Tamil,The Tamil Nadu government is considering converting the under-construction ₹525-crore Kalaignar International Convention Centre at Muttukadu into a new Legislative Assembly complex to ease space constraints at Fort St. George. The project is expected to - instagram.com,instagram.com,https://news.google.com/rss/articles/CBMiUkFVX3lxTFB1OEJFSXdCR0lqd002LVRtS0RVbWt3R2tSRV9nRlg4MktYMHpVTXlvRDNBOFh1M2FGazBVRDc1eE5pZ1M4dmZDY1pzaEE1NzEyYVE?oc=5,-0.9827,negative,0.983,0,none,distilbert,2026
2026-06-22,DMK’s,DMK’s Kanimozhi criticises Tamil Nadu government over rise in crimes against women and children - The News Mill,The News Mill,https://news.google.com/rss/articles/CBMixgFBVV95cUxPZVNwVTh0cGdvcnZWdkxPRWVfekxIUmlpcXZzWGJid3pVMnlmYm1YTjZ5VjgwblFXbVdld05TbmZYakFLYVhxQ3hPamxEVmtqWHFlb3Jwd1ktamtENFZ1d29KblJmOVlSSkRJNnR6XzVXOWRSSFhHdEltd3NzdzVfU2RGa1hMMlRlOGR0Rkd0ZUJwSVRjNUNUUWw3MDlxODBPX0IwdmhSbm1xMlVPQldraEVDdFlqelRtM3dqd2d1S0hWTi13bVE?oc=5,-0.9821,negative,0.982,0,none,distilbert,2026
2026-06-20,Chennai,Chennai Port Extends a Grand Traditional Welcome to Cruise Vessel M.V. Empress - PIB,PIB,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1IWC1mY3hYM3B1cGdsNTR4VXdVaGxUR2dzZmVObXpJSi1kR3N0WlQxQ0s1UVE0dkVWUjg4SWtVRXpienZ6ZFJodjJoMU11QkdTZzJqZ0h5VmF5aWFMQ1FEenc0TXNzWnY4?oc=5,0.9993,positive,0.999,0,none,distilbert,2026
2026-06-22,Chennai,"Chennai: Pandemonium In Assembly Over Gas Leak, Mekedatu - Deccan Chronicle",Deccan Chronicle,https://news.google.com/rss/articles/CBMivgFBVV95cUxNajhpbnd6akx2ZzZTTXI4Q2dYNm44ZWFKdU1UTkkxV3I0Z2RMY0FMR0FnazZjUGJHZVRuYXMxX0JYTzBJdnBxRnRYRng0cmp2OWhVZDJsTE5NU2RhQ0xGM0wwa0hNd192TmVvaG9DM0RtaW5jUnc4Z0pNR0dqRXdpczdjb0VJTjNoOW5hYlpqeW84cnNlQ2p0VUhFeXdVTk1NdWExaWVOR1NZUHhDUFJJdjM4U3g5R0FzOG56RlVB0gHDAUFVX3lxTE9GQnMwTFRKd0t5WVNTamZERjBFQjRfelI3NzhoUjVwdFNhTW9VTlR5eXdXTURJY3NmNzBCcmJVUk9DZWJKS29qTDFtcC0xaURMaVREd2JIdk5YSGVpZ3JDclI2bExnVFMySTZGQmVJNEZ4YXpUMUxtU0YxWXJZT1lDS3VDRm15bnQzRTRSTjNlTFpBY2tIWFg1UGd6RklINVJQOU5RM25BZVcxUnJuLXQ2SW9pZ3hCemJVS2p3RDJraFBQcw?oc=5,-0.992,negative,0.992,0,none,distilbert,2026
2026-06-22,Tamil,More than 200 govt doctors on long unauthorised absence in Tamil Nadu - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQYjV1MENhelljQ0dJcVBLMUVDT3Y3RTFGSmdpRWtYSm1ncFgxczZkaVVHbERUUWVqLUlncjFXQ0hxUXhGYnhtMjRYOU02UDRtazRQSmIzTzRRYUVaY2tkV25kNUtMNklLc0FENnAtNFlhMDNvbU4zMVVKcU9JdDRKbWpZTDVMcHAyRWt2R0RVZGRFX3kyZ242TVFsNElFdlZKd0o2UVhQRDlHdmFVRmEwZWhRODJOU296Vkt6Q0JHcUtkdlJ4UXFhYnYtYjFPQks4RGhETXpWRkF2Ynlt0gHiAUFVX3lxTE96TEdJcVB2di1wem9jWExGZlVOWmIza1lHQmhwb0FXZlFUeVQyWEdRaFYwX1NIRGhfYmVJek5RdFFYbkJPUzlxVkl6YXVrZHRnWDlTZk1VM01uN3pLZWkzQnl4QUJhWFozUEt4aVVCYXAzeVY4dWZKYjdMLXRFdFBfODFtSU5scXpUYll6eVVPd1lFRkVmRTlDdmNZclNKYVlfNHFna1h4NDlqckM1Y3k1NHI0ZGxRZ3F4M1JVY254dXRuSXJkNzJjVUt0aXBvaWlFRkZWMS13VEtKUXR3SUZHdFE?oc=5,-0.9204,negative,0.92,0,none,distilbert,2026
