record_id,year,district_city,source,text,sentiment_score,positive_terms,negative_terms,sentiment_label,polarity,subjectivity,crime_types,crime_intensity,confidence
1,2023,Chennai,complaint,We are afraid of the violence in our neighborhood. Crime is very dangerous here. We need more police support and protection.,-3,1,4,negative,-0.995,0.5,violence,9,0.995
2,2023,Chennai,news,The police response was quick and helpful. They resolved the murder case within days. Justice served!,3,4,1,positive,0.995,0.5,murder,10,0.995
3,2023,Bangalore,complaint,There was a robbery near my house last night. I am worried and afraid for my family's safety. This area is unsafe now.,-4,0,4,negative,-0.999,0.5,robbery,7,0.999
4,2023,Delhi,social_media,Harassment and assault cases are increasing. We need better security and vigilant patrolling. People are panicked about their safety.,1,2,1,negative,-0.999,0.5,assault; harassment,8,0.999
5,2023,Mumbai,news,The new security measures have made us feel safer and more secure. The police are responsive and trusted by the community.,4,4,0,positive,0.999,0.5,none,0,0.999
6,2023,Chennai,complaint,Murder case caught! Arrested the suspects. The improved law enforcement has brought peace to the area.,3,4,1,positive,0.998,0.5,murder,10,0.998
7,2023,Bangalore,social_media,Theft and robbery are still a concern. The delay in police response makes people feel unsafe and worried.,-4,0,4,negative,-0.997,0.5,robbery; theft,7,0.997
8,2023,Delhi,news,Assault and violence incidents have decreased. People feel calm and protected. The community support is excellent.,2,3,1,positive,1.0,0.5,assault; violence,9,1.0
9,2023,Mumbai,complaint,Fraud cases detected and addressed quickly. The police action was trusted and effective. Community feels secured.,0,1,1,positive,0.999,0.5,fraud,5,0.999
10,2023,Chennai,social_media,Gunshot incidents were reported. People are angry and afraid. We need urgent intervention and support.,-2,1,3,negative,-0.996,0.5,none,0,0.996
